	Description		
Удача	"{Удача – ""Базовый"" уровень}

Повышает удачу войск героя на 1 единицу, давая им шанс на нанесение удвоенного урона в момент атаки или ответной атаки противника.

При отсутствие прочих модификаторов вероятность срабатывания удачи составляет в среднем 4,17% на каждый ход любого из отрядов героя."	"{Удача – ""Продвинутый"" уровень}

Повышает удачу войск героя на 2 единицы, давая им шанс на нанесение удвоенного урона в момент атаки или ответной атаки противника.

При отсутствие прочих модификаторов вероятность срабатывания удачи составляет в среднем 8,33% на каждый ход любого из отрядов героя."	"{Удача – ""Экспертный"" уровень}

Повышает удачу войск героя на 3 единицы, давая им шанс на нанесение удвоенного урона в момент атаки или ответной атаки противника.

При отсутствие прочих модификаторов вероятность срабатывания удачи составляет в среднем 12,5% на каждый ход любого из отрядов героя."
Баллистика	"{Баллистика – ""Базовый"" уровень}

Дает возможность управлять катапультой, позволяя производить один выстрел повышенной эффективности с 50%-ной вероятностью двойного урона."	"{Баллистика – ""Продвинутый"" уровень}

Дает возможность управлять катапультой, позволяя производить два выстрела повышенной эффективности с 50%-ной вероятностью двойного урона."	"{Баллистика – ""Экспертный"" уровень}

Дает возможность управлять катапультой, позволяя производить два выстрела максимальной эффективности с 100%-ной вероятностью двойного урона."
Орлиный взор	"{Орлиный взор – ""Базовый"" уровень}

Позволяет герою с 40%-ной вероятностью изучить заклинание 1-го или 2-го уровня, направленное противником во время боя, после победы над ним."	"{Орлиный взор – ""Продвинутый"" уровень}

Позволяет герою с 50%-ной вероятностью изучить заклинание до 3-го уровня включительно, направленное противником во время боя, после победы над ним."	"{Орлиный взор – ""Экспертный"" уровень}

Позволяет герою с 60%-ной вероятностью изучить заклинание до 4-го уровня включительно, направленное противником во время боя, после победы над ним."
Некромантия	"{Некромантия – ""Базовый"" уровень}

Позволяет поднять 10% убитых в бою существ противника в виде скелетов (из категории живых созданий, из прочих поднимается лишь 1 скелет).

Если в войске героя есть только скелеты-воины и нет пустых мест под отряды, то будет поднято на 1/3 меньшее количество улучшенных скелетов.

Если у героя нет ни скелетов, ни пустых мест под отряды, то поднятие не производится.

Максимальный эффект поднятия нежити не может превышать суммарного уровня здоровья убитых существ противника."	"{Некромантия – ""Продвинутый"" уровень}

Позволяет поднять 20% убитых в бою существ противника в виде скелетов (из категории живых созданий, из прочих поднимается лишь 1 скелет).

Если в войске героя есть только скелеты-воины и нет пустых мест под отряды, то будет поднято на 1/3 меньшее количество улучшенных скелетов.

Если у героя нет ни скелетов, ни пустых мест под отряды, то поднятие не производится.

Максимальный эффект поднятия нежити не может превышать суммарного уровня здоровья убитых существ противника."	"{Некромантия – ""Экспертный"" уровень}

Позволяет поднять 30% убитых в бою существ противника в виде скелетов (из категории живых созданий, из прочих поднимается лишь 1 скелет).

Если в войске героя есть только скелеты-воины и нет пустых мест под отряды, то будет поднято на 1/3 меньшее количество улучшенных скелетов.

Если у героя нет ни скелетов, ни пустых мест под отряды, то поднятие не производится.

Максимальный эффект поднятия нежити не может превышать суммарного уровня здоровья убитых существ противника."
Имущество	"{Имущество – ""Базовый"" уровень}

Ежедневно добавляет к общему запасу золота 125 золотых."	"{Имущество – ""Продвинутый"" уровень}

Ежедневно добавляет к общему запасу золота 250 золотых."	"{Имущество – ""Экспертный"" уровень}

Ежедневно добавляет к общему запасу золота 500 золотых."
Магия Огня	"{Магия Огня – ""Базовый"" уровень}

Уменьшает расход очков магии на заклинания магии Огня.

Уменьшает расход очков магии на 1 очко для заклинаний 1-го уровня, на 2 для 2-го, на 3 для 3-го, на 4 для 4-го и на 5 для 5-го. Дальнейшее повышение уровня навыка влияет только на силу заклинаний."	"{Магия Огня – ""Продвинутый"" уровень}

Увеличивает эффективность заклинаний магии Огня и уменьшает расход очков магии на них.

Стоимость заклинаний остается на базовом уровне."	"{Магия Огня – ""Экспертный"" уровень}

Позволяет направлять заклинания магии Огня с максимальной эффективностью и минимальным расходом очков магии.

Стоимость заклинаний остается на базовом уровне."
Магия Воздуха	"{Магия Воздуха – ""Базовый"" уровень}

Уменьшает расход очков магии на заклинания магии Воздуха.

Уменьшает расход очков магии на 1 очко для заклинаний 1-го уровня, на 2 для 2-го, на 3 для 3-го, на 4 для 4-го и на 5 для 5-го. Дальнейшее повышение уровня навыка влияет только на силу заклинаний."	"{Магия Воздуха – ""Продвинутый"" уровень}

Увеличивает эффективность заклинаний магии Воздуха и уменьшает расход очков магии на них.

Стоимость заклинаний остается на базовом уровне."	"{Магия Воздуха – ""Экспертный"" уровень}

Позволяет направлять заклинания магии Воздуха с максимальной эффективностью и минимальным расходом очков магии.

Стоимость заклинаний остается на базовом уровне."
Магия Воды	"{Магия Воды – ""Базовый"" уровень}

Уменьшает расход очков магии на заклинания магии Воды.

Уменьшает расход очков магии на 1 очко для заклинаний 1-го уровня, на 2 для 2-го, на 3 для 3-го, на 4 для 4-го и на 5 для 5-го. Дальнейшее повышение уровня навыка влияет только на силу заклинаний (исключение – ""Телепортация"")."	"{Магия Воды – ""Продвинутый"" уровень}

Увеличивает эффективность заклинаний магии Воды и уменьшает расход очков магии на них.

Стоимость заклинаний остается на базовом уровне (исключение – ""Телепортация"")."	"{Магия Воды – ""Экспертный"" уровень}

Позволяет направлять заклинания магии Воды с максимальной эффективностью и минимальным расходом очков магии.

Стоимость заклинаний остается на базовом уровне (исключение – ""Телепортация"")."
Магия Земли	"{Магия Земли – ""Базовый"" уровень}

Уменьшает расход очков магии на заклинания магии Земли.

Уменьшает расход очков магии на 1 очко для заклинаний 1-го уровня, на 2 для 2-го, на 3 для 3-го, на 4 для 4-го и на 5 для 5-го. Дальнейшее повышение уровня навыка влияет только на силу заклинаний."	"{Магия Земли – ""Продвинутый"" уровень}

Увеличивает эффективность заклинаний магии Земли и уменьшает расход очков магии на них.

Стоимость заклинаний остается на базовом уровне."	"{Магия Земли – ""Экспертный"" уровень}

Позволяет направлять заклинания магии Земли с максимальной эффективностью и минимальным расходом очков магии.

Стоимость заклинаний остается на базовом уровне."
Грамотность	"{Грамотность – ""Базовый"" уровень}

Позволяет героям обучать друг друга заклинаниям 1-го и 2-го уровней, записанным у них в книгах (кроме тех, которые присутствуют в их книгах заклинаний благодаря свиткам или артефактам)."	"{Грамотность – ""Продвинутый"" уровень}

Позволяет героям обучать друг друга заклинаниям до 3-го уровня включительно, записанным у них в книгах (кроме тех, которые присутствуют в их книгах заклинаний благодаря свиткам или артефактам)."	"{Грамотность – ""Экспертный"" уровень}

Позволяет героям обучать друг друга заклинаниям до 4-го уровня включительно, записанным у них в книгах (кроме тех, которые присутствуют в их книгах заклинаний благодаря свиткам или артефактам)."
Тактика	"{Тактика – ""Базовый"" уровень}

Позволяет герою выстраивать войска перед началом боя в пределах первых трех рядов клеток.

Также при необходимости позволяет герою отступить с поля боя или сдаться до начала сражения."	"{Тактика – ""Продвинутый"" уровень}

Позволяет герою выстраивать войска перед началом боя в пределах первых пяти рядов клеток.

Также при необходимости позволяет герою отступить с поля боя или сдаться до начала сражения."	"{Тактика – ""Экспертный"" уровень}

Позволяет герою выстраивать войска перед началом боя в пределах первых семи рядов клеток.

Также при необходимости позволяет герою отступить с поля боя или сдаться до начала сражения."
Артиллерия	"{Артиллерия – ""Базовый"" уровень}

Позволяет управлять баллистой. Баллиста совершает один выстрел по желаемому вражескому отряду, с 50%-ной вероятностью нанесения двойного урона.

Также в случае обороны города от вражеской осады, позволяет герою самому выбирать цели для стрелковых башен."	"{Артиллерия – ""Продвинутый"" уровень}

Позволяет управлять баллистой. Баллиста совершает два выстрела по желаемому вражескому отряду, каждый из которых с 75%-ной вероятностью наносит двойной урон.

Также в случае обороны города от вражеской осады, позволяет герою самому выбирать цели для стрелковых башен."	"{Артиллерия – ""Экспертный"" уровень}

Позволяет управлять баллистой. Баллиста совершает два выстрела по желаемому вражескому отряду, каждый из которых наносит двойной урон.

Также в случае обороны города от вражеской осады, позволяет герою самому выбирать цели для стрелковых башен."
Обучение	"{Обучение – ""Базовый"" уровень}

Увеличивает на 5% количество очков опыта, зарабатываемых в бою."	"{Обучение – ""Продвинутый"" уровень}

Увеличивает на 10% количество очков опыта, зарабатываемых в бою."	"{Обучение – ""Экспертный"" уровень}

Увеличивает на 15% количество очков опыта, зарабатываемых в бою."
Оружие	"{Оружие – ""Базовый"" уровень}

Увеличивает базовый урон, наносимый войсками героя в ближнем бою, на 10%."	"{Оружие – ""Продвинутый"" уровень}

Увеличивает базовый урон, наносимый войсками героя в ближнем бою, на 20%."	"{Оружие – ""Экспертный"" уровень}

Увеличивает базовый урон, наносимый войсками героя в ближнем бою, на 30%."
Доспехи	"{Доспехи – ""Базовый"" уровень}

Уменьшает все повреждения (как в ближнем бою, так и на расстоянии), наносимые войскам героя, на 5%."	"{Доспехи – ""Продвинутый"" уровень}

Уменьшает все повреждения (как в ближнем бою, так и на расстоянии), наносимые войскам героя, на 10%."	"{Доспехи – ""Экспертный"" уровень}

Уменьшает все повреждения (как в ближнем бою, так и на расстоянии), наносимые войскам героя, на 15%."
Интеллект	"{Интеллект – ""Базовый"" уровень}

Увеличивает максимальное количество очков магии героя на 25% (+12,5 очков магии за каждый уровень Знаний героя)."	"{Интеллект – ""Продвинутый"" уровень}

Увеличивает максимальное количество очков магии героя на 50% (+15 очков магии за каждый уровень Знаний героя)."	"{Интеллект – ""Экспертный"" уровень}

Удваивает максимальное количество очков магии героя (+20 очков магии за каждый уровень Знаний героя)."
Волшебство	"{Волшебство – ""Базовый"" уровень}

Увеличивает урон от боевых заклинаний героя на 5%."	"{Волшебство – ""Продвинутый"" уровень}

Увеличивает урон от боевых заклинаний героя на 10%."	"{Волшебство – ""Экспертный"" уровень}

Увеличивает урон от боевых заклинаний героя на 15%."
Сопротивление	"{Сопротивление – ""Базовый"" уровень}

Дает отрядам героя шанс с 5% вероятностью избежать любого направленного на них вражеского заклинания (в том числе повышает на 5% врожденное сопротивление магии у наделенных им существ героя)."	"{Сопротивление – ""Продвинутый"" уровень}

Дает отрядам героя шанс с 10% вероятностью избежать любого направленного на них вражеского заклинания (в том числе повышает на 10% врожденное сопротивление магии у наделенных им существ героя)."	"{Сопротивление – ""Экспертный"" уровень}

Дает отрядам героя шанс с 20% вероятностью избежать любого направленного на них вражеского заклинания (в том числе повышает на 20% врожденное сопротивление магии у наделенных им существ героя)."
Первая помощь	"{Первая помощь – ""Базовый"" уровень}

Позволяет герою управлять палаткой первой помощи. Палатка восстанавливает 50 единиц здоровья у одного существа из выбранного отряда."	"{Первая помощь – ""Продвинутый"" уровень}

Позволяет герою управлять палаткой первой помощи. Палатка восстанавливает 75 единиц здоровья у одного существа из выбранного отряда."	"{Первая помощь – ""Экспертный"" уровень}

Позволяет герою управлять палаткой первой помощи. Палатка восстанавливает 100 единиц здоровья у одного существа из выбранного отряда."
