	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Нила	30	40	ApprenticeGremlin	4	4	StoneGargoyle	2	3	IronGolem
Торосар	30	40	ApprenticeGremlin	1	1	Ballista	2	3	IronGolem
Фафнер	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Рисса	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Иона	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Астрал	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Халон	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Серена	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Дэрмит	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Теодорус	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Сольмир	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Сайра	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Эйне	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Фиона	15	25	Imp	3	4	HellHound	3	4	HellHound
Рашка	15	25	Imp	4	7	Gog	3	4	HellHound
Мариусса	15	25	Imp	4	7	Gog	3	4	HellHound
Игнатиус	15	25	Imp	15	25	Imp	15	25	Imp
Октавия	15	25	Imp	4	7	Gog	3	4	HellHound
Кэлх	4	7	Gog	4	7	Gog	4	7	Gog
Пайра	15	25	Imp	1	1	Ballista	3	4	HellHound
Нимусса	15	25	Imp	4	7	Gog	3	4	HellHound
Айден	15	25	Imp	4	7	Gog	3	4	HellHound
Ксирон	15	25	Imp	4	7	Gog	3	4	HellHound
Аксис	15	25	Imp	4	7	Gog	3	4	HellHound
Олема	15	25	Imp	4	7	Gog	3	4	HellHound
Калида	15	25	Imp	4	7	Gog	3	4	HellHound
Пепелина	15	25	Imp	4	7	Gog	3	4	HellHound
Зидар	15	25	Imp	4	7	Gog	3	4	HellHound
Ксарфакс	15	25	Imp	4	7	Gog	3	4	HellHound
Стракер	4	6	Zombie	4	6	Zombie	4	6	Zombie
Вокиал	20	30	Skeleton	4	6	Zombie	4	6	Wight
Моандор	20	30	Skeleton	4	6	Zombie	4	6	Wight
Чарна	20	30	Skeleton	4	6	Wight	4	6	Wight
Тамика	20	30	Skeleton	4	6	Zombie	4	6	Wight
Изра	20	30	Skeleton	4	6	Zombie	4	6	Wight
Клавиус	20	30	Skeleton	4	6	Zombie	4	6	Wight
Галтран	20	30	Skeleton	20	30	Skeleton	20	30	Skeleton
Септинна	20	30	Skeleton	4	6	Zombie	4	6	Wight
Эйслинна	20	30	Skeleton	4	6	Zombie	4	6	Wight
Сандро	20	30	Skeleton	4	6	Zombie	4	6	Wight
Нимбус	20	30	Skeleton	4	6	Zombie	4	6	Wight
Тант	20	30	Skeleton	4	6	Zombie	4	6	Wight
Кси	20	30	Skeleton	4	6	Zombie	4	6	Wight
Видомина	20	30	Skeleton	4	6	Zombie	4	6	Wight
Нагаш	20	30	Skeleton	4	6	Zombie	4	6	Wight
Лорилей	4	6	Harpy	4	6	Harpy	4	6	Harpy
Арлак	30	40	Troglodyte	1	1	Ballista	3	4	Beholder
Дейс	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Аджит	30	40	Troglodyte	3	4	Beholder	3	4	Beholder
Дамакон	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Гуннар	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Синка	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Шакти	30	40	Troglodyte	30	40	Troglodyte	30	40	Troglodyte
Аламар	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Ягер	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Малекит	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Джедит	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Геон	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Димер	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Сефинрот	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Дарксторн	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Йог	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Гурниссон	15	25	Goblin	1	1	Ballista	4	6	Orc
Ябаркас	15	25	Goblin	4	6	Orc	4	6	Orc
Шива	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Гретхен	15	25	Goblin	15	25	Goblin	15	25	Goblin
Крельон	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Крэг Хак	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Тираксор	5	7	GoblinWolfRider	5	7	GoblinWolfRider	5	7	GoblinWolfRider
Гирда	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Вей	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Десса	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Терек	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Зубин	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Гундула	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Орис	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Соруг	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Брон	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Дрейкон	10	20	Gnoll	10	20	Gnoll	10	20	Gnoll
Вестан	4	7	PrimitiveLizardman	4	7	PrimitiveLizardman	4	7	PrimitiveLizardman
Тазар	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Алкин	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Корбак	10	20	Gnoll	2	4	SerpentFly	2	4	DragonFly
Гервульф	10	20	Gnoll	1	1	Ballista	2	4	SerpentFly
Брогхильд	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Мирланда	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Росика	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Воя	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Вердиш	10	20	Gnoll	1	1	FirstAidTent	2	4	SerpentFly
Мериста	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Стига	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Андра	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Тива	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Пасисса	15	25	Pixies	3	5	Air Elementals	2	3	Air Elementals
Тунара	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Игнисса	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Лакусса	15	25	Pixies	3	5	Water Elementals	1	2	Water Elementals
Монер	15	25	Pixies	3	5	Air Elementals	2	3	Air Elementals
Эрдамон	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Фиур	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Кальт	15	25	Pixies	3	5	Water Elementals	1	2	Water Elementals
Луна	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Брисса	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Сийла	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Лабета	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Интей	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Эниан	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Джелар	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Гриндан	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Сэр Мюллич	10	20	Pikeman	4	7	Archer	2	3	Griffin
Адриана	10	20	Gnoll	4	7	Lizardman	2	4	Serpent Fly
Катерина	10	20	Pikeman	4	7	Archer	2	3	Griffin
Дракон	6	6	Enchanters	3	3	Enchanters	1	1	Enchanters
Джелу	6	6	Sharpshooters	3	3	Sharpshooters	1	1	Sharpshooters
Килгор	15	25	Goblins	5	7	Goblin Wolf Rider	4	6	Orc
Хаарт Лич	20	30	Skeleton	4	6	Zombie	4	6	Wight
Мутара	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Роланд	10	20	Pikeman	4	7	Archer	2	3	Griffin
Мутара Дрейк	10	20	Pikeman	4	7	Archer	2	3	Griffin
Борагус	10	20	Pikeman	4	7	Archer	2	3	Griffin
Ксерон	10	20	Pikeman	4	7	Archer	2	3	Griffin
