			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Полет	Полет	5	 	 	 	x	20	15	15	15	0	60	60	80	100	0	16	16	16	16	12	0	0	13	30	30	40	50	"{Полет}

Позволяет герою перелетать через любые препятствия, используя часть своего хода со штрафом 40% к затратам на перемещение. В конце хода необходимо приземлиться.

Эффект от заклинания длится 1 ход.
"	"{Полет – ""Базовый"" уровень}

Позволяет герою перелетать через любые препятствия, используя часть своего хода со штрафом 40% к затратам на перемещение. В конце хода необходимо приземлиться.

Эффект от заклинания длится 1 ход.

Заклинание стоит на 5 очков магии меньше (15 вместо 20), чем обычный ""Полет"".
"	"{Полет – ""Продвинутый"" уровень}

Позволяет герою перелетать через любые препятствия, используя часть своего хода со штрафом 20% к затратам на перемещение. В конце хода необходимо приземлиться.

Эффект от заклинания длится 1 ход.
"	"{Полет – ""Экспертный"" уровень}

Позволяет герою перелетать через любые препятствия, используя весь свой ход. В конце хода необходимо приземлиться.

Эффект от заклинания длится 1 ход.
"	 ADV_SPELL
Хождение по воде	Хождение по воде	4	 	x	 	 	12	8	8	8	0	60	60	80	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{Хождение по воде}

Позволяет герою преодолевать водные препятствия, используя часть своего хода со штрафом 40% к затратам на перемещение. Ход необходимо заканчивать на суше.

Эффект от заклинания длится 1 ход.
"	"{Хождение по воде – ""Базовый"" уровень}

Позволяет герою преодолевать водные препятствия, используя часть своего хода со штрафом 40% к затратам на перемещение. Ход необходимо заканчивать на суше.

Эффект от заклинания длится 1 ход.

Заклинание стоит на 4 очка магии меньше (8 вместо 12), чем обычное ""Хождение по воде"".
"	"{Хождение по воде – ""Продвинутый"" уровень}

Позволяет герою преодолевать водные препятствия, используя часть своего хода со штрафом 20% к затратам на перемещение. Ход необходимо заканчивать на суше.

Эффект от заклинания длится 1 ход.
"	"{Хождение по воде – ""Экспертный"" уровень}

Позволяет герою преодолевать водные препятствия, используя весь свой ход. Ход необходимо заканчивать на суше.

Эффект от заклинания длится 1 ход.
"	 ADV_SPELL
Дверь измерений	Дверь измерений	5	 	 	 	x	25	20	20	20	0	1	2	3	4	0	20	14	16	16	16	0	0	13	30	30	40	50	"{Дверь измерений}

Позволяет герою телепортироваться на видимый незанятый участок на карте 1 раз в день.

Ход героя сокращается на 300 единиц перемещения.
"	"{Дверь измерений – ""Базовый"" уровень}

Позволяет герою телепортироваться на видимый незанятый участок на карте 2 раза в день.

Ход героя сокращается на 300 единиц перемещения.

Заклинание стоит на 5 очков магии меньше (20 вместо 25), чем обычная ""Дверь измерений"".
"	"{Дверь измерений – ""Продвинутый"" уровень}

Позволяет герою телепортироваться на видимый незанятый участок на карте 3 раза в день.

Ход героя сокращается на 300 единиц перемещения.
"	"{Дверь измерений – ""Экспертный"" уровень}

Позволяет герою телепортироваться на видимый незанятый участок на карте 4 раза в день.

Ход героя сокращается на 200 единиц перемещения.
"	 ADV_SPELL
Городской портал	Городской портал	4	x	 	 	 	16	12	12	12	0	0	0	0	0	10	10	10	10	10	10	0	0	10	5	5	70	70	"{Городской портал}

Позволяет герою телепортироваться в ближайший дружественный город. В городе не должно быть другого героя.

Ход героя сокращается на 300 единиц перемещения.
"	"{Городской портал – ""Базовый"" уровень}

Позволяет герою телепортироваться в ближайший дружественный город. В городе не должно быть другого героя.

Ход героя сокращается на 300 единиц перемещения.

Заклинание стоит на 4 очка магии меньше (12 вместо 16), чем обычный ""Городской портал"".
"	"{Городской портал – ""Продвинутый"" уровень}

Позволяет герою телепортироваться в любой дружественный город. В городе не должно быть другого героя.

Ход героя сокращается на 300 единиц перемещения.
"	"{Городской портал – ""Экспертный"" уровень}

Позволяет герою телепортироваться в любой дружественный город. В городе не должно быть другого героя.

Ход героя сокращается на 200 единиц перемещения.
"	 ADV_SPELL
																																	
Combat Spells																																	
																																	
Зыбучие пески	Зыбучие пески	2	x	 	 	 	8	6	6	6	0	0	0	0	0	4	4	6	4	4	4	6	6	4	1	1	1	1	"{Зыбучие пески}

Случайным образом размещает на поле боя 4 участка зыбучего песка, видимые только тому, кто направил заклинание, а также существам, для которых данный тип местности является ""родным"". Если нелетающий отряд попал на зыбучий песок, его ход кончается, а участок с зыбучим песком становится видимым для всех.

Длительность зыбучих песков не ограничена.
"	"{Зыбучие пески – ""Базовый"" уровень}

Случайным образом размещает на поле боя 4 участка зыбучего песка, видимые только тому, кто направил заклинание, а также существам, для которых данный тип местности является ""родным"". Если нелетающий отряд попал на зыбучий песок, его ход кончается, а участок с зыбучим песком становится видимым для всех.

Длительность зыбучих песков не ограничена.

Заклинание стоит на 2 очка магии меньше (6 вместо 8), чем обычные ""Зыбучие пески"".
"	"{Зыбучие пески – ""Продвинутый"" уровень}

Случайным образом размещает на поле боя 6 участков зыбучего песка, видимые только тому, кто направил заклинание, а также существам, для которых данный тип местности является ""родным"". Если нелетающий отряд попал на зыбучий песок, его ход кончается, а участок с зыбучим песком становится видимым для всех.

Длительность зыбучих песков не ограничена.
"	"{Зыбучие пески – ""Экспертный"" уровень}

Случайным образом размещает на поле боя 8 участков зыбучего песка, видимые только тому, кто направил заклинание, а также существам, для которых данный тип местности является ""родным"". Если нелетающий отряд попал на зыбучий песок, его ход кончается, а участок с зыбучим песком становится видимым для всех.

Длительность зыбучих песков не ограничена.
"	 COMBAT_SPELL|LOCATION_TARGET
Минное поле	Минное поле	3	 	 	x	 	18	15	15	15	10	25	25	50	100	8	8	8	6	8	12	8	2	4	1	1	1	1	"{Минное поле}

Случайным образом размещает на поле боя 4 мины, видимые только тому, кто направил заклинание, а также существам, для которых данный тип местности является ""родным"". Причиняет урон любому отряду, не видящему такую мину и наступившему на нее, при этом после взрыва мина исчезает. В ином случае длительность мин не ограничена.

Урон: ""Сила магии"" х 10 + 25.
"	"{Минное поле – ""Базовый"" уровень}

Случайным образом размещает на поле боя 4 мины, видимые только тому, кто направил заклинание, а также существам, для которых данный тип местности является ""родным"". Причиняет урон любому отряду, не видящему такую мину и наступившему на нее, при этом после взрыва мина исчезает. В ином случае длительность мин не ограничена.

Урон: ""Сила магии"" х 10 + 25.

Заклинание стоит на 3 очка магии меньше (15 вместо 18), чем обычное ""Минное поле"".
"	"{Минное поле – ""Продвинутый"" уровень}

Случайным образом размещает на поле боя 6 мин, видимых только тому, кто направил заклинание, а также существам, для которых данный тип местности является ""родным"". Причиняет урон любому отряду, не видящему такую мину и наступившему на нее, при этом после взрыва мина исчезает. В ином случае длительность мин не ограничена.

Урон: ""Сила магии"" х 10 + 50.

Причиняет на 25 единиц больше урона, чем ""Минное поле"" базового уровня.
"	"{Минное поле – ""Экспертный"" уровень}

Случайным образом размещает на поле боя 8 мин, видимых только тому, кто направил заклинание, а также существам, для которых данный тип местности является ""родным"". Причиняет урон любому отряду, не видящему такую мину и наступившему на нее, при этом после взрыва мина исчезает. В ином случае длительность мин не ограничена.

Урон: ""Сила магии"" х 10 + 100.

Причиняет на 75 единиц больше урона, чем ""Минное поле"" базового уровня.
"	 COMBAT_SPELL|LOCATION_TARGET
Силовое поле	Силовое поле	3	x	 	 	 	12	9	9	9	0	0	0	0	0	4	4	8	2	8	8	4	4	8	1	1	1	1	"{Силовое поле}

Помещает на выбранном участке поля боя силовое поле шириной в 2 клетки. Перемещение через поле блокируется.

Вызов длится 2 раунда.
"	"{Силовое поле – ""Базовый"" уровень}

Помещает на выбранном участке поля боя силовое поле шириной в 2 клетки. Перемещение через поле блокируется.

Вызов длится 2 раунда.

Заклинание стоит на 3 очка магии меньше (9 вместо 12), чем обычное ""Силовое поле"".
"	"{Силовое поле – ""Продвинутый"" уровень}

Помещает на выбранном участке поля боя силовое поле шириной в 3 клетки. Перемещение через поле блокируется.

Вызов длится 2 раунда.
"	"{Силовое поле – ""Экспертный"" уровень}

Помещает на выбранном участке поля боя силовое поле шириной в 3 клетки. Перемещение через поле блокируется.

Вызов длится 2 раунда.
"	 COMBAT_SPELL|LOCATION_TARGET
Стена огня	Стена огня	2	 	 	x	 	8	6	6	6	10	10	10	20	50	4	4	4	12	4	4	4	4	8	1	1	1	1	"{Стена огня}

Размещает на выбранном участке поля боя 2-клеточную огненную стену. Любой отряд, проходящий через эту стену, получает урон.

Вызов длится 2 раунда.

Урон: ""Сила магии"" х 10 + 10.
"	"{Стена огня – ""Базовый"" уровень}

Размещает на выбранном участке поля боя 2-клеточную огненную стену. Любой отряд, проходящий через эту стену, получает урон.

Вызов длится 2 раунда.

Урон: ""Сила магии"" х 10 + 10.

Заклинание стоит на 2 очка магии меньше (6 вместо 8), чем обычная ""Стена огня"".
"	"{Стена огня – ""Продвинутый"" уровень}

Размещает на выбранном участке поля боя 3-клеточную огненную стену. Любой отряд, проходящий через эту стену, получает урон.

Вызов длится 2 раунда.

Урон: ""Сила магии"" х 10 + 20.
"	"{Стена огня – ""Экспертный"" уровень}

Размещает на выбранном участке поля боя 3-клеточную огненную стену. Любой отряд, проходящий через эту стену, получает урон.

Вызов длится 2 раунда.

Урон: ""Сила магии"" х 10 + 50.
"	 COMBAT_SPELL|LOCATION_TARGET
Землетрясение	Землетрясение	3	x	 	 	 	20	17	17	17	1	2	2	3	4	4	8	4	6	4	4	4	50	4	1	1	1	1	"{Землетрясение}

Во время боя повреждает два случайно выбранных участка стены замка.
"	"{Землетрясение – ""Базовый"" уровень}

Во время боя повреждает два случайно выбранных участка стены замка.

Заклинание стоит на 3 очка магии меньше (17 вместо 20), чем обычное ""Землетрясение"".
"	"{Землетрясение – ""Продвинутый"" уровень}

Во время боя повреждает три случайно выбранных участка стены замка.
"	"{Землетрясение – ""Экспертный"" уровень}

Во время боя повреждает четыре случайно выбранных участка стены замка.
"	 COMBAT_SPELL
Волшебная стрела	Волшебная стрела	1	x	x	x	x	5	4	4	4	10	10	10	20	30	30	30	30	30	30	30	30	30	30	10	10	10	10	"{Волшебная стрела}

Поражает выбранный отряд разрядом магической энергии.

Урон: ""Сила магии"" х 10 + 10.
"	"{Волшебная стрела – ""Базовый"" уровень}

Поражает выбранный отряд разрядом магической энергии.

Урон: ""Сила магии"" х 10 + 10.

Заклинание стоит на 1 очко магии меньше (4 вместо 5), чем обычная ""Волшебная стрела"".
"	"{Волшебная стрела – ""Продвинутый"" уровень}

Поражает выбранный отряд разрядом магической энергии.

Урон: ""Сила магии"" х 10 + 20.

Причиняет на 10 единиц больше урона, чем ""Волшебная стрела"" базового уровня.
"	"{Волшебная стрела – ""Экспертный"" уровень}

Поражает выбранный отряд разрядом магической энергии.

Урон: ""Сила магии"" х 10 + 30.

Причиняет на 20 единиц больше урона, чем ""Волшебная стрела"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET
Ледяная стрела	Ледяная стрела	2	 	x	 	 	8	6	6	6	20	10	10	20	50	50	50	6	0	6	6	4	50	25	20	20	20	20	"{Ледяная стрела}

Поражает выбранный отряд холодом.

Урон: ""Сила магии"" х 20 + 10.
"	"{Ледяная стрела – ""Базовый"" уровень}

Поражает выбранный отряд холодом.

Урон: ""Сила магии"" х 20 + 10.

Заклинание стоит на 2 очка магии меньше (6 вместо 8), чем обычная ""Ледяная стрела"".
"	"{Ледяная стрела – ""Продвинутый"" уровень}

Поражает выбранный отряд холодом.

Урон: ""Сила магии"" х 20 + 20.

Причиняет на 10 единиц больше урона, чем ""Ледяная стрела"" базового уровня.
"	"{Ледяная стрела – ""Экспертный"" уровень}

Поражает выбранный отряд холодом.

Урон: ""Сила магии"" х 20 + 50.

Причиняет на 40 единиц больше урона, чем ""Ледяная стрела"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET
Удар молнии	Удар молнии	2	 	 	 	x	10	8	8	8	25	10	10	20	50	4	4	50	20	6	50	50	4	25	25	25	25	25	"{Удар молнии}

Поражает выбранный вражеский отряд ударом молнии.

Урон: ""Сила магии"" х 25 + 10.
"	"{Удар молнии – ""Базовый"" уровень}

Поражает выбранный вражеский отряд ударом молнии.

Урон: ""Сила магии"" х 25 + 10.

Заклинание стоит на 2 очка магии меньше (8 вместо 10), чем обычный ""Удар молнии"".
"	"{Удар молнии – ""Продвинутый"" уровень}

Поражает выбранный вражеский отряд ударом молнии.

Урон: ""Сила магии"" х 25 + 20.

Причиняет на 10 единиц больше урона, чем ""Удар молнии"" базового уровня.
"	"{Удар молнии – ""Экспертный"" уровень}

Поражает выбранный вражеский отряд ударом молнии.

Урон: ""Сила магии"" х 25 + 50.

Причиняет на 40 единиц больше урона, чем ""Удар молнии"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET
Взрыв	Взрыв	5	x	 	 	 	30	25	25	25	75	100	100	200	300	0	16	14	16	20	12	0	0	13	75	75	75	75	"{Взрыв}

Поражает выбранный вражеский отряд внутренним магическим взрывом, нанося существенный урон вражескому отряду.

Не действует на боевые машины.

Урон: ""Сила магии"" х 75 + 100.
"	"{Взрыв – ""Базовый"" уровень}

Поражает выбранный вражеский отряд внутренним магическим взрывом, нанося существенный урон вражескому отряду.

Не действует на боевые машины.

Урон: ""Сила магии"" х 75 + 100.

Заклинание стоит на 5 очков магии меньше (25 вместо 30), чем обычный ""Взрыв"".
"	"{Взрыв – ""Продвинутый"" уровень}

Поражает выбранный вражеский отряд внутренним магическим взрывом, нанося существенный урон вражескому отряду.

Не действует на боевые машины.

Урон: ""Сила магии"" х 75 + 200.

Причиняет на 100 единиц больше урона, чем ""Взрыв"" базового уровня.
"	"{Взрыв – ""Экспертный"" уровень}

Поражает выбранный вражеский отряд внутренним магическим взрывом, нанося существенный урон вражескому отряду.

Не действует на боевые машины.

Урон: ""Сила магии"" х 75 + 300.

Причиняет на 200 единиц больше урона, чем ""Взрыв"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET
Цепная молния	Цепная молния	4	 	 	 	x	24	20	20	20	40	25	25	50	100	10	10	10	10	10	10	0	0	10	75	75	75	75	"{Цепная молния}

В выбранный отряд ударяет молния, которая затем переходит на ближайший отряд, причиняя половину урона, затем на следующий отряд, причиняя четверть от начального урона, и т.д. Поражает 4 отряда (включая дружественные отряды и боевые машины).

Урон: ""Сила магии"" х 40 + 25.
"	"{Цепная молния – ""Базовый"" уровень}

В выбранный отряд ударяет молния, которая затем переходит на ближайший отряд, причиняя половину урона, затем на следующий отряд, причиняя четверть от начального урона, и т.д. Поражает 4 отряда (включая дружественные отряды и боевые машины).

Урон: ""Сила магии"" х 40 + 25.

Заклинание стоит на 4 очка магии меньше (20 вместо 24), чем обычная ""Цепная молния"".
"	"{Цепная молния – ""Продвинутый"" уровень}

В выбранный отряд ударяет молния, которая затем переходит на ближайший отряд, причиняя половину урона, затем на следующий отряд, причиняя четверть от начального урона, и т.д. Поражает 5 отрядов (включая дружественные отряды и боевые машины).
Урон: ""Сила магии"" х 40 + 50.

Причиняет на 25 единиц больше урона, чем ""Цепная молния"" базового уровня.
"	"{Цепная молния – ""Экспертный"" уровень}

В выбранный отряд ударяет молния, которая затем переходит на ближайший отряд, причиняя половину урона, затем на следующий отряд, причиняя четверть от начального урона, и т.д. Поражает 5 отрядов (включая дружественные отряды и боевые машины).
Урон: ""Сила магии"" х 40 + 100.

Причиняет на 75 единиц больше урона, чем ""Цепная молния"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET
Кольцо холода	Кольцо холода	3	 	x	 	 	12	9	9	9	10	15	15	30	60	16	16	16	0	12	12	12	4	12	12	12	12	12	"{Кольцо холода}

Наносит урон холодом всем отрядам на клетках, соседствующих с целью. Сама цель урона не получает (за исключением больших существ, занимающих 2 клетки).

Урон: ""Сила магии"" х 10 + 15.
"	"{Кольцо холода – ""Базовый"" уровень}

Наносит урон холодом всем отрядам на клетках, соседствующих с целью. Сама цель урона не получает (за исключением больших существ, занимающих 2 клетки).

Урон: ""Сила магии"" х 10 + 15.

Заклинание стоит на 3 очка магии меньше (9 вместо 12), чем обычное ""Кольцо холода"".
"	"{Кольцо холода – ""Продвинутый"" уровень}

Наносит урон холодом всем отрядам на клетках, соседствующих с целью. Сама цель урона не получает (за исключением больших существ, занимающих 2 клетки).

Урон: ""Сила магии"" х 10 + 30.

Причиняет на 15 единиц больше урона, чем ""Кольцо холода"" базового уровня.
"	"{Кольцо холода – ""Экспертный"" уровень}

Наносит урон холодом всем отрядам на клетках, соседствующих с целью. Сама цель урона не получает (за исключением больших существ, занимающих 2 клетки).

Урон: ""Сила магии"" х 10 + 60.

Причиняет на 45 единиц больше урона, чем ""Кольцо холода"" базового уровня.
"	 COMBAT_SPELL|LOCATION_TARGET
Огненный шар	Огненный шар	3	 	 	x	 	15	12	12	12	10	15	15	30	60	8	8	8	50	12	16	12	2	12	15	15	15	15	"{Огненный шар}

На выбранный отряд обрушивается огненный шар, причиняя урон также всем отрядам на клетках, соседствующих с целью.

Урон: ""Сила магии"" х 10 + 15.
"	"{Огненный шар – ""Базовый"" уровень}

На выбранный отряд обрушивается огненный шар, причиняя урон также всем отрядам на клетках, соседствующих с целью.

Урон: ""Сила магии"" х 10 + 15.

Заклинание стоит на 3 очка магии меньше (12 вместо 15), чем обычный ""Огненный шар"".
"	"{Огненный шар – ""Продвинутый"" уровень}

На выбранный отряд обрушивается огненный шар, причиняя урон также всем отрядам на клетках, соседствующих с целью.

Урон: ""Сила магии"" х 10 + 30.

Причиняет на 15 единиц урона больше, чем ""Огненный шар"" базового уровня.
"	"{Огненный шар – ""Экспертный"" уровень}

На выбранный отряд обрушивается огненный шар, причиняя урон также всем отрядам на клетках, соседствующих с целью.

Урон: ""Сила магии"" х 10 + 60.

Причиняет на 45 единиц урона больше, чем ""Огненный шар"" базового уровня.
"	 COMBAT_SPELL|LOCATION_TARGET
Инферно	Инферно	4	 	 	x	 	16	12	12	12	10	20	20	40	80	5	5	5	10	5	5	0	0	10	20	20	20	20	"{Инферно}

Огромный взрыв поражает выбранную цель и окружающие ее отряды в радиусе 2 клеток огромной вспышкой огня.

Урон: ""Сила магии"" х 10 + 20.
"	"{Инферно – ""Базовый"" уровень}

Огромный взрыв поражает выбранную цель и окружающие ее отряды в радиусе 2 клеток огромной вспышкой огня.

Урон: ""Сила магии"" х 10 + 20.

Заклинание стоит на 4 очка магии меньше (12 вместо 16), чем обычный ""Инферно"".
"	"{Инферно – ""Продвинутый"" уровень}

Огромный взрыв поражает выбранную цель и окружающие ее отряды в радиусе 2 клеток огромной вспышкой огня.

Урон: ""Сила магии"" х 10 + 40.

Причиняет на 20 единиц урона больше, чем ""Инферно"" базового уровня.
"	"{Инферно – ""Экспертный"" уровень}

Огромный взрыв поражает выбранную цель и окружающие ее отряды в радиусе 2 клеток огромной вспышкой огня.

Урон: ""Сила магии"" х 10 + 80.

Причиняет на 60 единиц урона больше, чем ""Инферно"" продвинутого уровня.
"	 COMBAT_SPELL|LOCATION_TARGET
Метеоритный дождь	Метеоритный дождь	4	x	 	 	 	16	12	12	12	25	25	25	50	100	10	10	10	10	10	10	0	0	10	37	37	37	37	"{Метеоритный дождь}

Обрушивает на выбранный отряд и прилегающую территорию метеоритный дождь.

Урон: ""Сила магии"" х 25 + 25.
"	"{Метеоритный дождь – ""Базовый"" уровень}

Обрушивает на выбранный отряд и прилегающую территорию метеоритный дождь.

Урон: ""Сила магии"" х 25 + 25.

Заклинание стоит на 4 очка магии меньше (12 вместо 16), чем обычный ""Метеоритный дождь"".
"	"{Метеоритный дождь – ""Продвинутый"" уровень}

Обрушивает на выбранный отряд и прилегающую территорию метеоритный дождь.

Урон: ""Сила магии"" х 25 + 50.

Причиняет на 25 единиц больше урона, чем ""Метеоритный дождь"" базового уровня.
"	"{Метеоритный дождь – ""Экспертный"" уровень}

Обрушивает на выбранный отряд и прилегающую территорию метеоритный дождь.

Урон: ""Сила магии"" х 25 + 100.

Причиняет на 75 единиц больше урона, чем ""Метеоритный дождь"" базового уровня.
"	 COMBAT_SPELL|LOCATION_TARGET
Волна смерти	Волна смерти	2	x	 	 	 	10	8	8	8	5	10	10	20	30	0	0	0	0	50	0	0	0	0	20	20	20	20	"{Волна смерти}

Посылает по всему полю боя волну смерти, которая причиняет урон всем войскам, кроме нежити.

Урон: ""Сила магии"" х 5 + 10.
"	"{Волна смерти – ""Базовый"" уровень}

Посылает по всему полю боя волну смерти, которая причиняет урон всем войскам, кроме нежити.

Урон: ""Сила магии"" х 5 + 10.

Заклинание стоит на 2 очка магии меньше (8 вместо 10), чем обычная ""Волна смерти"".
"	"{Волна смерти – ""Продвинутый"" уровень}

Посылает по всему полю боя волну смерти, которая причиняет урон всем войскам, кроме нежити.

Урон: ""Сила магии"" х 5 + 20.

Причиняет на 10 единиц больше урона, чем ""Волна смерти"" базового уровня.
"	"{Волна смерти – ""Экспертный"" уровень}

Посылает по всему полю боя волну смерти, которая причиняет урон всем войскам, кроме нежити.

Урон: ""Сила магии"" х 5 + 30.

Причиняет на 20 единиц больше урона, чем ""Волна смерти"" базового уровня.
"	 COMBAT_SPELL
Уничтожение нежити	Уничтожение нежити	3	 	 	 	x	15	12	12	12	10	10	10	20	50	12	8	8	2	0	4	4	2	4	40	40	40	40	"{Уничтожение нежити}

Атакует всю нежить на поле боя.

Урон: ""Сила магии"" х 10 + 10.
"	"{Уничтожение нежити – ""Базовый"" уровень}

Атакует всю нежить на поле боя.

Урон: ""Сила магии"" х 10 + 10.

Заклинание стоит на 3 очка магии меньше (12 вместо 15), чем обычное ""Уничтожение нежити"".
"	"{Уничтожение нежити – ""Продвинутый"" уровень}

Атакует всю нежить на поле боя.

Урон: ""Сила магии"" х 10 + 20.

Причиняет на 10 единиц больше урона, чем ""Уничтожение нежити"" базового уровня.
"	"{Уничтожение нежити – ""Экспертный"" уровень}

Атакует всю нежить на поле боя.

Урон: ""Сила магии"" х 10 + 50.

Причиняет на 40 единиц больше урона, чем ""Уничтожение нежити"" базового уровня.
"	 COMBAT_SPELL
